SISTEMA,CENTRO DE CONTROL REGIONAL,ZONA DE CARGA,CLAVE,NOMBRE,NIVEL DE TENSIÓN (kV),DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,ZONA DE OPERACIÓN DE TRANSMISIÓN,GERENCIA REGIONAL DE TRANSMISIÓN,ZONA DE DISTRIBUCIÓN,GERENCIA DIVISIONAL DE DISTRIBUCIÓN,CLAVE DE ENTIDAD FEDERATIVA (INEGI),ENTIDAD FEDERATIVA (INEGI),CLAVE DE MUNICIPIO (INEGI),MUNICIPIO (INEGI),REGION DE TRANSMISION
BCA,BAJA CALIFORNIA,SANLUIS,07SRY-230,San Luis Rey,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26.0,SONORA,55.0,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,TIJUANA,07BJO-69,Bajio,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07CAE-69,Carga particular en linea de transmision MEP-63720-DRA,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07CES-69,Carga particular en linea de transmision MEP-63480-TJI,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07CNA-69,Cardenas,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07DRA-69,Durazno,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07END-69,Encinal Dos,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,3.0,TECATE,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07ENL-69,Encinal,69.0,No Aplica,Indirectamente Modelada,Directamente Modelada,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,3.0,TECATE,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FCO-69,Francisco Villa,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FLO-69,El Florido,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FOR-69,Formosa,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FTA-69,Frontera,69.0,No Aplica,Indirectamente Modelada,No Aplica,Indirectamente Modelada,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07GER-69,Guerrero,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07HMO-69,Hipodromo,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07HUN-69,Hunter,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07INA-69,Industrial,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07IOP-69,P. I. Otay Matamoros,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,4.0,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07JOY-115,La Joya,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,5.0,PLAYAS DE ROSARITO,TIJUANA
